Year;Doc/Res;AI;%IC;RG;TDI;BCg
1987;0.522455262106639;2.9904804440592483;20.084701668962953;4.534446645388523;4.76979937157333;5.554823176532581
1988;0.44714930634208044;2.642541207561915;22.301967765346205;5.67854366529491;5.927514272155832;7.228594564999123
1989;0.46271808362619465;2.450735106803091;20.563475354820316;5.235003411141112;6.091150185131386;8.250801105767748
1990;0.5018161016802788;2.7374077854175956;11.254005528838743;5.813445277027601;6.638888937110788;8.913547076436025
1991;0.6225870608105718;2.7696173331965177;5.572623758996197;5.067450805866343;7.430977676944904;9.649097094823828
1992;0.5656878394355752;2.8343459089078977;8.400896582240073;4.639708246339181;6.831869693107516;9.077064075079331
1993;0.809922747187421;3.098824392065515;22.267204133246814;6.199147994528038;7.595016209168135;12.806205247325142
1994;0.9199551360706142;3.2360635485146245;26.996038563118084;7.453153523366783;6.809862563902284;16.2612455585412
1995;1.1171697837052472;3.2312534820468968;24.343136439942153;9.235003411141113;7.908793244060076;19.76903219549035
1996;1.2005553189592357;3.321268533332609;26.553007620227525;12.91569589521821;9.519420320439142;19.607057252797105
1997;1.258903300334221;3.447639581088391;22.874733344040404;13.952606916120091;10.340912069555687;20.083472921221315
1998;1.6674205064236167;3.400268544290625;23.95699249954317;18.459337948780433;10.542371431892663;27.7861475253387
1999;1.6141742506966745;3.2129251621374038;24.298799928854052;18.46680239921123;11.763693432133323;32.3709606271626
2000;1.7636959905237752;3.3364876439372075;29.23106267028222;20.47215564106441;12.722513465297936;41.24201902011523
2001;1.753533790273568;3.534995714234501;29.45334647662475;22.411944864900523;12.49826705877757;41.99762676048947
2002;1.5079244274065309;3.514253555767046;29.977923311651455;24.26659880039438;12.99834833331251;37.65252593862316
2003;1.5046128183033904;3.619103371364835;28.301620345598348;24.987406728444356;13.506625952464427;39.863211600418026
2004;1.368943632504984;3.7071789048109824;33.695539407971566;28.484748912620052;12.763939038703786;42.31289866978091
2005;1.4072759275115738;3.91856906798904;32.6524235303485;30.084304104781783;12.418072111431737;47.2569855311814
2006;1.3678557511272798;3.813675436039775;36.88538589633208;33.78803431318798;10.76886272066969;45.937640405053926
2007;1.2849227321624745;3.9069461883718146;37.06033360160831;33.02624214740008;10.628581560171918;44.954531314173934
2008;1.1045788015339613;3.9389576596277633;38.17148023904916;31.362664993171343;11.676844669569187;38.323829574215615
2009;1.2352822522747038;4.064137008108453;33.20986374264574;32.27300764653637;13.65475466564415;37.81046527468494
2010;1.3750469746168221;4.165274536350784;32.25216002617637;35.17694145375941;13.895116106336241;42.52976875698943
2011;1.4047941246915943;4.2762424627299565;32.248234903798675;36.16434818220377;12.613088517668738;37.99487117887515
2012;1.4217764283910226;4.297741657905552;28.201219026894915;37.13490161173268;12.257225081607425;41.721901142543345
2013;1.3897945910265703;4.325189849170069;26.705148616513757;38.33725402933172;11.51583807795727;42.53104878200658
2014;1.4554656718364722;4.487279394354318;29.959936095119076;39.849300693640664;11.943785551065497;44.59849958787292
2015;1.5768368620795448;4.5799340823661625;30.661256851545474;42.57844186588648;13.494422791761425;46.556235325117854
2016;1.6132628034672554;4.633072970551257;30.191862211892314;44.24272989250481;13.906856373446756;45.63567263970771
2017;1.6595191324257583;4.87452987454019;29.094667372152905;50.236059015429916;13.348477727444342;48.67556366295225
2018;1.745724227884059;5.047675148604656;28.32608849109444;61.29559652940878;13.098562797633795;56.041815421298374
2019;1.6446559840482198;5.316949730721228;28.29282132298366;56.59209971093781;12.471000769877973;53.908425936334105
2020;1.5914871734872842;5.503883831038744;31.0060038085987;59.47838426961217;13.33297633755245;54.83136127431423
